,Fund1,Fund2,DTW_distance
296,Alger Capital Appreciation Instl Fd,VY® T. Rowe Price Growth Equity Port,510.99693834679164
297,Alger Capital Appreciation Instl Fd,Vanguard US Growth Portfolio,589.7337266415879
298,Alger Capital Appreciation Instl Fd,Victory Aggressive Growth,771.4652324036158
299,Alger Capital Appreciation Instl Fd,Victory Growth,616.5293416083787
300,Alger Capital Appreciation Instl Fd,Voya Large Cap Growth Port,648.7405692728292
301,Alger Capital Appreciation Instl Fd,Wedgewood Fund,975.0574251542431
302,Alger Spectra Fund,Allspring Growth Fund,435.585875608918
303,Alger Spectra Fund,Allspring Large Cap Growth Fund,622.2315113281319
304,Alger Spectra Fund,Allspring Premier Large Company GrFd,769.3796258262748
305,Alger Spectra Fund,American Century NT Growth Fund,746.2485404573317
306,Alger Spectra Fund,American Century Select Fund,650.179974866204
307,Alger Spectra Fund,BNY Mellon Research Growth Fund,690.8838350589554
308,Alger Spectra Fund,BlackRock Capital Appreciation Fund,559.5153490745224
309,Alger Spectra Fund,BlackRock Large Cap Focus Growth Fund,558.6427847902173
310,Alger Spectra Fund,Calamos Growth Fund,1045.869929576078
311,Alger Spectra Fund,Calvert Equity Fund,930.4125219746567
312,Alger Spectra Fund,ClearBridge Large Cap Growth Fund,629.7336218906981
313,Alger Spectra Fund,Columbia Large Cap Growth Fund,542.8174464709588
314,Alger Spectra Fund,Columbia Large Cap Growth Opportunity Fd,680.0508533346659
315,Alger Spectra Fund,Columbia Select Large Cap Growth Fund,1192.75648020911
316,Alger Spectra Fund,DWS Capital Growth Fund,586.9239754698278
317,Alger Spectra Fund,Delaware Ivy Accumulative Fund,925.6024097630368
318,Alger Spectra Fund,Delaware Ivy Large Cap Growth Fund,625.4709002429812
319,Alger Spectra Fund,Edgewood Growth Fund,623.073424422387
320,Alger Spectra Fund,Elfun Trusts,1210.894137606771
321,Alger Spectra Fund,Federated Hermes Kaufmann Lrg Cp Fd,597.2157238964162
322,Alger Spectra Fund,Fidelity Advisor® Equity Growth Fund,700.8716841357685
323,Alger Spectra Fund,Fidelity Advisor® Growth Opps Fd,924.5759809926931
324,Alger Spectra Fund,Fidelity® Capital Appreciation Fund,486.61796981757897
325,Alger Spectra Fund,Fidelity® Focused Stock Fund,801.0627410811287
326,Alger Spectra Fund,Fidelity® Growth Discovery Fund,533.0345860738732
327,Alger Spectra Fund,Fidelity® Large Cap Growth Enh Idx Fd,579.0213903536744
